word;n.total;r
pueda;2785;0.992916746289573
ve;2783;0.992904006624626
sueño;2777;0.992891266959679
centro;2775;0.992878527294732
blanco;2771;0.992865787629785
par;2765;0.992853047964839
varios;2764;0.992840308299892
puedes;2763;0.992827568634945
movimiento;2762;0.992814828969998
seguía;2743;0.992802089305051
recuerdo;2738;0.992782979807631
seres;2738;0.992782979807631
tono;2736;0.992763870310211
pocos;2730;0.992751130645264
tomar;2729;0.992738390980317
entró;2724;0.99272565131537
derecho;2720;0.992712911650424
planeta;2717;0.992700171985477
realmente;2707;0.99268743232053
dedos;2694;0.992674692655583
aquello;2685;0.992661952990636
dejado;2671;0.992649213325689
aspecto;2654;0.992636473660743
alta;2645;0.992623733995796
mía;2644;0.992604624498376
perdido;2644;0.992604624498376
podían;2621;0.992585515000956
siglo;2611;0.992572775336009
ciencia;2609;0.992560035671062
echó;2591;0.992547296006115
menor;2590;0.992534556341168
gesto;2587;0.992521816676221
pelo;2578;0.992509077011275
distancia;2569;0.992496337346328
ido;2566;0.992483597681381
caballo;2564;0.992464488183961
imposible;2564;0.992464488183961
pecho;2557;0.992445378686541
podido;2553;0.992432639021594
caer;2551;0.992419899356647
pensaba;2547;0.9924071596917
semana;2544;0.992394420026753
vaya;2533;0.992381680361806
estrellas;2530;0.992362570864386
papá;2530;0.992362570864386
esperaba;2528;0.992343461366966
miraba;2526;0.992330721702019
querido;2515;0.992317982037072
segunda;2514;0.992305242372126
gusta;2502;0.992292502707179
marido;2500;0.992279763042232
valor;2495;0.992267023377285
presencia;2491;0.992254283712338
contrario;2488;0.992241544047392
cierta;2485;0.992228804382445
paz;2483;0.992216064717498
medida;2479;0.992203325052551
libre;2477;0.992190585387604
experiencia;2470;0.992177845722658
fácil;2464;0.992158736225237
sintió;2464;0.992158736225237
palacio;2463;0.992139626727817
completamente;2460;0.99212688706287
añadió;2458;0.992114147397923
blanca;2457;0.992101407732977
veinte;2449;0.99208866806803
libertad;2448;0.992075928403083
comida;2445;0.992063188738136
acerca;2443;0.992050449073189
relación;2442;0.992037709408243
existencia;2439;0.992024969743296
clara;2436;0.992012230078349
carta;2432;0.991999490413402
natural;2431;0.991986750748455
cerebro;2429;0.991967641251035
resto;2429;0.991967641251035
jefe;2425;0.991942161921141
ésta;2425;0.991942161921141
dirección;2422;0.991923052423721
luna;2421;0.991910312758774
queda;2416;0.991897573093828
jóvenes;2414;0.991884833428881
objeto;2413;0.991872093763934
hombros;2412;0.991859354098987
vos;2410;0.99184661443404
llama;2409;0.991833874769094
cogió;2404;0.991821135104147
hacen;2402;0.9918083954392
cuello;2400;0.991795655774253
destino;2394;0.991782916109306
animales;2391;0.99177017644436
niña;2379;0.991757436779413
esperar;2376;0.991744697114466
espada;2370;0.991725587617046
época;2370;0.991725587617046
fuerzas;2366;0.991706478119625
llevar;2363;0.991693738454679
sentado;2360;0.991680998789732
ayuda;2348;0.991668259124785
llevó;2345;0.991655519459838
frío;2343;0.991642779794891
mirar;2338;0.991630040129945
río;2335;0.991617300464998
ley;2320;0.991604560800051
buscar;2319;0.991591821135104
hubiese;2318;0.991572711637684
piel;2318;0.991572711637684
hermana;2317;0.991553602140264
siendo;2316;0.991540862475317
siete;2314;0.991521752977897
varias;2314;0.991521752977897
baja;2312;0.991502643480476
acercó;2311;0.99148990381553
estados;2310;0.991464424485636
estuvo;2310;0.991464424485636
seguridad;2310;0.991464424485636
pregunté;2303;0.991438945155742
habrá;2298;0.991426205490796
vuestra;2297;0.991413465825849
ideas;2292;0.991394356328428
lleva;2292;0.991394356328428
ropa;2280;0.991375246831008
cuestión;2278;0.991362507166061
adelante;2270;0.991349767501115
piedra;2266;0.991337027836168
trataba;2259;0.991324288171221
futuro;2257;0.991311548506274
resulta;2256;0.991298808841328
mismos;2255;0.991286069176381
iglesia;2249;0.991273329511434
encontró;2246;0.991260589846487
poner;2245;0.99124785018154
café;2243;0.99122874068412
feliz;2243;0.99122874068412
coronel;2240;0.9912096311867
señorita;2239;0.991196891521753
viento;2237;0.991184151856806
importa;2236;0.991171412191859
espalda;2234;0.991158672526913
llamado;2228;0.991139563029492
mucha;2228;0.991139563029492
hablaba;2220;0.991120453532072
debajo;2218;0.991107713867125
diciendo;2215;0.991094974202178
pasos;2211;0.991082234537232
fui;2209;0.991069494872285
ruido;2206;0.991056755207338
viene;2201;0.991044015542391
datos;2200;0.991024906044971
policía;2200;0.991024906044971
somos;2196;0.991005796547551
quienes;2194;0.990993056882604
conversación;2191;0.990980317217657
sonrió;2190;0.990961207720237
treinta;2190;0.990961207720237
piernas;2188;0.990942098222817
metros;2184;0.990922988725396
supuesto;2184;0.990922988725396
